MEDX 社媒矩阵清单,,,,,,
账号类型,平台,账号定位,目标粉丝（6个月）,发布频次,内容方向,负责人
官方主账号,Twitter/X,主品牌宣发账号,150k+,每日2-3条,"平台公告、合作新闻、行业热点、活动宣发",社媒运营
CEO 个人账号,Twitter/X,"创始人IP打造，提升信任感",30k+,每日1-2条,"个人见解、行业观点、团队文化、AMA互动",CEO/Eric
华语区运营账号,Twitter/X,专项服务华语用户,20k+,每日1-2条,"华语热点、中文公告、华语社区活动",华语运营
韩语区运营账号,Twitter/X,专项服务韩国市场,10k+,每日1条,"韩文翻译公告、韩国市场活动",韩语运营
东南亚区运营账号,Twitter/X,覆盖越南/泰国/印尼,8k+,每日1条,"东南亚语言公告、本土化活动",SEA运营
市场活动账号,Twitter/X,专属活动宣传与互动,5k+,活动期间高频,"Giveaway、AMA宣传、转发互动",活动运营
,,,,,,
官方 Telegram 华语群,Telegram,核心华语社区,30k+成员,24/7管理,"项目进展公告、日常互动、AMA活动",社区管理员×3
官方 Telegram 英语群,Telegram,国际英语社区,20k+成员,24/7管理,"英文公告、国际用户服务、全球活动",英语社区管理
官方 Telegram 韩语群,Telegram,韩国市场社区,5k+成员,24/7管理,"韩文公告、韩国社区活动",韩语管理员
官方 Telegram 东南亚群,Telegram,东南亚社区（越南/泰国）,8k+成员,24/7管理,"越/泰语公告、本土化运营",SEA管理员
官方 Telegram 频道（公告频道）,Telegram,单向广播公告频道,50k+订阅,每日1-3条,"官方公告、重大新闻、活动预告",管理员广播
,,,,,,
官方 Discord 服务器,Discord,深度社区 & 高粘性用户,50k+成员,持续运营,"频道讨论、技术支持、活动、治理投票",Discord 管理团队
# Discord 推荐频道架构,,,,,,
频道分组,频道名称,用途,,,,
INFO（信息区）,#公告,官方公告,,,,
INFO（信息区）,#规则,社区规范,,,,
INFO（信息区）,#路线图,项目路线,,,,
INFO（信息区）,#合作伙伴,生态合作展示,,,,
COMMUNITY（社区区）,#一般聊天,日常聊天,,,,
COMMUNITY（社区区）,#中文频道,华语用户专区,,,,
COMMUNITY（社区区）,#英文频道,英语用户专区,,,,
COMMUNITY（社区区）,#韩语频道,韩国专区,,,,
TRADING（交易区）,#交易讨论,市场/价格讨论,,,,
TRADING（交易区）,#链上数据,数据分享,,,,
SUPPORT（支持区）,#新手帮助,用户问答,,,,
SUPPORT（支持区）,#客服票据,Ticket Tool对接,,,,
EVENTS（活动区）,#活动公告,Galxe/Zealy任务,,,,
EVENTS（活动区）,#大使计划,Ambassador专区,,,,
VIP（高级区）,#核心用户专区,忠诚用户权益,,,,
,,,,,,
内容创作平台,平台,内容方向,目标,发布频次,
Medium 博客,Medium（英文）,"深度文章、技术解析、运营复盘",月均4篇,每周1篇,
HashOutput,HashOutput（中文）,"中文深度报告、项目进展",月均4篇,每周1篇,
YouTube 主频道,YouTube,"项目介绍视频、使用教程、AMA回放",月均2-4支,双周或月更,
TikTok/YouTube Shorts,短视频平台,"30s-60s品牌内容、产品功能演示",月均4-8支,每周1-2支,
GitBook 文档,GitBook,"白皮书、技术文档、官方资料中心",持续更新,按需更新,
