MQE × ChainPulse Capital  ——  线下会议 & 活动规划,,,,,
,,,,,
【2026 全球重点 Web3 会议日历】,,,,,
会议名称,地点,时间,规模,MQE 参与形式,负责阶段
TOKEN2049 Singapore,新加坡,2026年9月 (TBD),50000+人,展位赞助 / 演讲嘉宾 / 侧会主办,M5-M6
Korea Blockchain Week (KBW),首尔 韩国,2026年9月 (TBD),大型会议,会议赞助 / 开发者日演讲 / 社区活动,M5-M6
Consensus 2026,美国 德克萨斯,2026年5月,25000+人,展位 / 媒体专访,M2
ETHDenver,美国 科罗拉多 (已结束),已结束,15000+人,合作回顾 / 视频内容输出,M1 (回顾)
Bitcoin 2026 Las Vegas,美国 拉斯维加斯,2026年5月,30000+人,展位赞助 / KOL联合宣发,M2
Web3 Festival Hong Kong,香港,2026年4月 (Web3 Festival),大型,品牌展示 / 演讲 / 商务对接,M1-M2
Blockchain Life 2026,迪拜/莫斯科 (轮换),2026年秋季,15000+人,演讲+展位,M5-M6
Asia Crypto Week,新加坡周边,配合TOKEN2049,区域性活动,侧会主办 / 合作呈现,M5-M6
DAO Tokyo,日本 东京,2026年Q3-Q4,中型,日本市场拓展,M4-M5
CryptoViet Summit,越南 胡志明市,2026年下半年,东南亚 5000+,赞助+演讲,M4
,,,,,
【线下活动执行计划】,,,,,
活动类型,目标地区,执行月份,目的,所需资源,预期效果
参展 TOKEN2049 / KBW,新加坡/韩国,M5-M6,"国际品牌曝光、机构对接","展位设计物料、品牌礼品（T恤/贴纸/本子）、项目Deck（中英韩）","接触 500+ 机构/投资人，获得10+媒体采访机会"
主办 MQE 侧会（Side Event）,新加坡,M5,"核心用户聚会、圆桌论坛、AMA晚宴","场地租赁（50-100人规模）、酒水简餐、嘉宾邀请","50-100位核心用户/KOL/VC 现场参与，产出10+媒体报道"
华语圈线下见面会,香港 / 深圳,M2 + M4,"华语社区建设、KOL关系维护、用户见面会","小型场地（30-50人）、礼品包、现场AMA","巩固华语社区，新增100+本地用户"
东南亚社区日,越南/泰国,M4,"开拓东南亚市场、建立本土大使团队","当地合作方对接、多语言物料、社区礼品","建立5+本土大使，新增300+东南亚用户"
合作项目联合线下活动,各地（配合合作方),M3-M6,"与生态合作伙伴联合举办","联合品牌物料、联合宣发","扩大双方影响力，互换流量"
线下媒体专访（ Token2049等周边）,海外会议地点,M5-M6,"建立国际媒体关系","提前约访 CoinDesk/The Block 等记者","获得3-5篇高质量国际媒体报道"
,,,,,
【线下活动所需物料清单】,,,,,
物料类型,数量（参考）,备注,
品牌 T 恤（Logo款）,200件,用于会议礼品 & 团队着装,
品牌手提袋,200个,内含项目介绍手册,
项目宣传册（中/英双语）,500份,A4双页折叠设计,
展架/展板（X展架2米）,2-4个,品牌视觉主展示,
LED灯牌/品牌台卡,若干,展位桌面摆设,
U盘（预载项目资料）,100个,定制品牌USB,
贴纸/徽章,500+,低成本高传播度周边,
Pitch Deck 精装版（印刷）,50份,用于机构洽谈,
品牌名片（团队成员）,人均200张,中英双面设计,
