"零熵协议海外市场营销执行方案 周期4个月 (04-08)
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"日期，拟
(具体根据公布时间而定)",宣发目标,宣发事件,日期,产品线,运营线,事件/BD 计划,twitter pipeline,视觉产出,文案产出
"
04.01-04.07",,产品平台定位,46113,,,增加编写白皮书,,,
,,,46116,,平台定位、创新点,创建英文电报群,,,
,,,46117,,Twitter及Discord频道创建,,,,
04.08-04.15,,白皮书，官方账号，Pitchdeck完善,46120,,,logo设计,,,
,,,46121,,,介绍零熵协议推文,,,
,,,46122,,网站UI内容,,,活动易拉宝海报及NFT、oat勋章制作,
,,,46123,,搭建官网,,,,
,,,46124,,,介绍零熵协议愿景推文,,,
,,,46126,,,,,,
,,,46127,,,,,,初版白皮书2.0 deck
04.16-04.23,,白皮书，Pitchdeck完善，打造社区基本面+一篇文章,46128,,,,,,
,,,46129,,,,,,
,,,46130,,官网部署,,,,
,,,46131,,,,,,
,,,46132,,,,,信息图：Onepager,
,,,46133,,官网上线公告,Galaxy OAT 勋章活动,,,
,,,46134,,,Ninja/Inspetor社区勋章活动推广,,初版Pitchdeck,英文版白皮书
04.24-04.30,,打造社区基本面，提升活跃度，用户教育,46136,,,,,白皮书装饰,
,,,46137,,,,,信息图：系统生态价值,收集/准备FAQ
,,,46138,,白皮书更新公告,,,信息图：运作逻辑,
,,,46139,,,,,,
,,,46140,,,钱包联合空投活动,,,
,,,46141,,,,,信息图：代币经济模型,
,,,46142,,,,,信息图：Roadmap,
05.01-05.07,,用户教育，提升社区活跃度，多活动增加品牌曝光+一篇文章,46143,,预热AMA海报发布,200~300USDT,,,
,,,46144,,,发布白皮书,,信息图：零熵协议系统生态价值(用户数据价值确权),文章：Introduction to 零熵协议
,,,46145,,,,,,
,,,46146,,,,,"信息图：零熵协议系统生态价值(赋能项目生态
)",
,,,46147,,space,,,,
,,,46148,,,,,,
,,,46149,,,社区Weekly Chat,,,
05.08-05.15,,用户教育，提升社区活跃度，多活动增加品牌曝光+一篇文章,46150,,,,,信息图：零熵协议系统身份角色,
,,,46151,,"对接Quest3/taskon平台(用户可以通过参与任务和事件来获积分和 NFT 徽章,Web3平台)，达成合作关系",,,,
,,,46152,,,联合Formless关于Web3的Twitter Space,,信息图：零熵协议 背景,文章：零熵协议创建初衷以及创新点
,,,46153,,,Galaxy活动拉新,,,
,,,46154,,,,,信息图：零熵协议 玩法,
,,,46155,,预热AMA海报发布,200~300USDT,,,
,,,46156,,,社区Weekly Chat,,,文章：零熵协议的发展空间
05.16-05.23,,用户教育，提升社区活跃度，多活动增加品牌曝光,46157,,发布大活动（在OAT空投活动中任意获得两款OAT 即可获得零熵协积分,,,NFT:活动预告图,
,,,46158,,,部分数据整理社群同步,,,
,,,46159,,发布OAT 7th 问题回答活动,,,活动图：oat 7th 配图,
,,,46160,,,之前6场活动参与人数及mint数据统计,,,
,,,46161,,,,,项目信息推文配图,
,,,46162,,SPACE,200~300USDT,,,挑选项目PR ；类如NFT3.COM
,,,46163,,宣发节点部分文字配图，及官网节点链接，做一下数据,,,推特配文图,
05.24-05.31,,增加节点信息预热，海外活动筹备预热，活动品牌曝光，OAT最后一场活动收尾，零熵协议玩法明细数量及铸造细则等初版透露+一篇文章,46166,,活动宣发,预测发布的NFT地板价,,活动配图,
,,,46167,,披露更新部分NFT配图,三个NFT头像的宣发,,NFT 头像,
,,,46168,,,数据收集，22号活动截止,,刷量及数据,节点文《know more》
,,,46169,,,统计之前7场整体人数做活动对比,,,
,,,46170,,OAT 获得者数据公布,,,推文配图对比图,
,,,46171,,币安直播,800USDT,,,
,,,46172,,海外活动预热,易拉宝等实际线下主kv图,,,
06.01-06.07,,增加节点信息预热，海外活动筹备预热，活动品牌曝光，零熵协议玩法明细数量及铸造细则等初版透露，三家合作声明+一篇文章,46174,,预热AMA海报发布,200~300USDT,,活动配图,
,,,46175,,,可以和ai+隐私+DEPIN互动,,零熵协议 头像,
,,,46176,,海外活动现场说明+活动配图/视频,数据回传,,刷量及数据,
,,,46177,,合作官推,联合发推,,,
,,,46178,,地址公布,发放NFT的地址公布,,推文配图对比图,
,,,46179,,发布medium 文章,,,,文章。零熵协议未来愿景
,,,46180,,合作官推,联合发推,,,
06.08-06.15,,"更新周报模版，每周五chris进行DISCORD 周报语音、文字；每周一次海外AMA,每周1.2文章",46181,,预热AMA海报发布,200~300USDT,,预热图,
,,,46182,,每周二进行海外合作AMA,200~300USDT,,零熵协议  头像,
,,,46183,,海外活动预热海报,1000USDT,,预热图,
,,,46184,,1场海外线下活动,联合发推,,,
,,,46185,,disCORD ,发放NFT的地址公布,,周报图,
,,,46186,,发布周报文章、海报,,,,一篇周报，一篇技术文章
,,,46187,,合作官推,联合发推,,,
06.16-06.23,,海外活动预热，3家活动宣发转推+一篇文章,46189,,合作官推 ,官方ama社群,,刷量及数据,
,,,46190,,合作官推,互动转推,,活动配图,
,,,46191,,合作官推,数据回传,,刷量及数据,
,,,46192,,预热海报送NFT,互动转推,,活动配图,
,,,46193,,AMA,200~300USDT,,活动配图,
,,,46194,,海报预热赠送NFT,互动转推,,活动配图,
