提交,发布,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
阶段,项目,内容点,物料,传播流程,备注,,,,,,,,,,,,,,,,,,,,,,,,
声量阶段Project awareness raising stage,项目解读稿件（KOL角度，第三方角度）,项目总体介绍解读优化,资料文章,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,账号运营搭建接管,,封面搭建/社区搭建,"海外各类自媒体平台同步
内容深耕、合作媒体发布、DC,TG运营搭建、水军等安排
",,,,,,,,,,,,,,,,,,,,,,,,,
,第三方聚合门户入驻,coinmarketcap、Tokeninsight等平台提交项目信息,"项目信息若干
快讯若干","自有平台发布
衍生技术类平台发布、合作媒体发布
",确认token信息，法律意见书，合约代码审计等,,,,,,,,,,,,,,,,,,,,,,,,
,市场热点话题内容,以市场热点作为切入点，带出AI算力及二层产品业务及卖点,内容+图片若干,"零熵协议自有平台发布
零熵协议技术类社区发布、合作媒体发布
",机动,,,,,,,,,,,,,,,,,,,,,,,,
"项目解读阶段
Project interpretation stage",项目卖点拆解,商业闭环（云节点，物理节点，撸毛）,内容输出,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,自办AMA,:不可磨灭的人工智能+零熵协议,"1.AMA宣发海报
2.AMA金句长图
3.总结文","自有平台发布
衍生技术类平台发布、合作媒体发布
",时间待定,,,,,,,,,,,,,,,,,,,,,,,,
,第三方AMA,生态大咖秀,总结——输出,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,研报植入,衍生品行业研报植入,"1.行业研报分析
2.合作媒体打Call海报1张","自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,市场热点快讯,"加入生态计划
布局生态",快讯2+横图,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,项目卖点拆解,ai产品、算力项目对比理解,第三周文章+对比图,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,项目卖点拆解,清算设计卖点解读,第二周素材输出,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,项目卖点拆解,经济模型优势解读,第一周素材输出,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,onepage扩散,项目onepage传播,图片1张,"自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
"背书阶段
Endorsement Stage",自办AMA＆线上圆桌活动,未来的加密场景+算力+AI扩大,"1.AMA宣发海报1篇
2.AMA总结文1篇","活动宣发：
1.合作媒体及项目社群扩散
2.区块链媒体及社群宣发
",多个黑客松会议项目进行，同时在第一阵营媒体合作发布,,,,,,,,,,,,,,,,,,,,,,,,
,战略动作,"1.零熵协议与defi或其他中心矿机领域明星项目机构达成战略合作关系
2.商业板块相关激励性活动",合作事项若干,"自有平台发布
衍生技术类平台发布、合作媒体发布
",待定,,,,,,,,,,,,,,,,,,,,,,,,
,大型活动背书,全球金融科技创新峰会、生态顶级的平台受邀活动,"1.宣发海报植入
2.活动快讯
3.路演露出、物料露出
4.会后总结长图露出
5.会后总结文露出","自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,机构融资背书,机构融资信息背书,"1.融资新闻
2.图片输出","自有平台发布
衍生技术类平台发布、合作媒体发布
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a
