MEDX × ChainPulse Capital  ——  KOL 名单 & 合作计划,,,,,,
,,,,,,
【华语 KOL 清单 — Twitter】,,,,,,
昵称,粉丝数,Twitter 链接,语区,合作阶段,合作形式
杀破狼 WolfyXBT,805.8K,https://twitter.com/Wolfy_XBT,华语,M3-M4,推文+转发+AMA
静香小姐,562.4K,https://x.com/btc_jx,华语,M3-M4,推文×3+置顶
BITWU.ETH,288.5K,https://x.com/BTW0205,华语,M2-M3,推文+深度评测
加密 天,233.5K,https://twitter.com/x0110GYY,华语,M2-M3,推文×2
Crypto攻城狮,233.1K,https://twitter.com/gcsbtc,华语,M3,推文+Youtube
sanyi.eth,212.9K,https://twitter.com/sanyi_eth_,华语,M2-M3,推文×3
0x思远,222.3K,https://twitter.com/nftsiy,华语,M2-M3,推文+AMA
茶哥-pepe,206.3K,https://twitter.com/R5Z5G,华语,M3,推文×2
铁树,201.9K,https://x.com/Yi_chen789,华语,M3,推文×2
陈小艺,173.5K,https://twitter.com/chenxiaoyi688,华语+社区,M2,"推文+TG社区置顶（3000+成员）"
Charles,148.2K,https://twitter.com/charles48011843,华语,M3,推文×2
唐华斑竹,142.9K,https://twitter.com/uniswap12,华语,M3,推文×2
Goku很Cool,137.1K,https://x.com/gokunocool,华语,M2-M3,推文+AMA联动
starling,112.1K,https://twitter.com/hanxiaobu2,华语,M3,推文×2
摸金校尉,109.8K,https://mobile.twitter.com/0xBclub,华语+社区,M2,"推文+TG Alpha_Club3（3000+成员）"
红神,105.3K,https://x.com/hongshen6666btc,华语,M3,推文×2
顾予,105.1K,https://twitter.com/yjy616,华语+社区,M2,"推文+TG Talentcapital（24000成员）"
币圈老司机,101.1K,https://twitter.com/SEFATUBA3,华语,M2,推文×2
Rocky,100.3K,https://x.com/Rocky_Bitcoin,华语,M2,推文+AMA
币世王,107.4K,https://twitter.com/0xKingsKuan,华语,M3,推文×2
匿名博士,97K,https://x.com/Chris_Defi,华语,M2,推文+分析帖
Niner 九儿,98.7K,https://twitter.com/lijiuer1,华语,M2,推文×2
草莓软糖,122.2K,https://twitter.com/Gummybear1771,华语,M2,推文×2
百里,116.1K,https://x.com/baili1018/,华语+社区,M2,"推文+TG（10000+成员）"
币到家 BDJ,116.6K,https://twitter.com/B_daojia,华语,M2,推文×2
Nancy,108.5K,https://twitter.com/nancy_c813,华语,M3,推文×2+AMA
Supers,160.1K,https://x.com/Supers6061,华语+社区,M2,"推文+TG NGClubs（600+成员）"
牛哥.eth,182.2K,https://twitter.com/btc100w100w,华语,M3,推文×3
Phyrex,210k,https://twitter.com/Phyrex_Ni,华语,M3,深度分析帖
何币,338.3K,https://twitter.com/hebi555,华语,M3,推文+AMA
,,,,,,
【有私域社区的重点 KOL】,,,,,,
昵称,社区平台,社区链接,成员数,合作阶段,合作形式
顾予,Telegram,https://t.me/Talentcapital,24000,M2,"TG社区置顶公告+推文+AMA"
梁山社区,Telegram,https://t.me/LSMM8,20990,M2,"社区置顶+推文联动"
好家伙,Telegram,https://t.me/fcai168,20999,M2,"社区置顶×2+推文"
6哥,Telegram,https://t.me/ChinaWhaleCommunity,16889,M2,"社区置顶+Alpha Call"
UKong,Telegram,https://t.me/UCalls_Channel,14000,M2,"社区公告+AMA合作"
小公主,Telegram,https://t.me/cryptoprincess999,11900,M3,"社区置顶+推文"
RichMan,Telegram,https://t.me/RichManLFGC,11600,M2,"社区公告+推文"
百里,Telegram,微信500+TG10000,10000+,M2,"推文+TG置顶"
百里,Telegram,混合私域,10000+,M2,"推文+私域触达"
江峰日记,Telegram,https://t.me/JFRJ0x,12081,M3,"社区Gem推荐+置顶"
芷若,Telegram,https://t.me/zhiruo123,4000+,M3,"推文+社区置顶"
柒吻,Telegram,https://t.me/erodec,4500+,M3,"推文+社区"
摸金校尉,Telegram,https://t.me/Alpha_Club3,3000+,M2,"推文+私域触达"
,,,,,,
【海外 KOL 清单】,,,,,,
昵称/渠道,语区,平台,粉丝/规模,合作阶段,合作形式
目标英语KOL×10,英语（北美/欧洲）,Twitter,50k+级别,M2-M3,"推文+YouTube评测"
目标韩语KOL×5,韩语（韩国）,Twitter/Naver,20k+级别,M3-M4,"韩文推文+Kakao社区推广"
目标日语KOL×3,日语（日本）,Twitter,10k+级别,M4,"日文推文+评测"
目标越南KOL×5,越南语,Facebook/Telegram,30k+级别,M3-M4,"Facebook帖子+TG社区"
目标泰国KOL×5,泰国语,Twitter/Telegram,20k+级别,M3-M4,"推文+LINE社群"
目标印尼KOL×3,印尼语,Twitter/Telegram,20k+级别,M4,"推文+WhatsApp群"
,,,,,,
【KOL 合作机制】,,,,,
合作类型,内容范围,结算方式,周期,目标,
基础推广包（S级）,2条推文+1条长文分析+1次空投宣传,Token/现金结算（按级别议定）,单次,20位,
中级合作包（A级）,3条推文+1次 AMA 联动+社区置顶,Token/现金结算（按级别议定）,单次,30位,
长期大使计划,月度内容创作×4条+月度活动配合,月度 Token 激励+平台手续费分成,6个月,10位,
UGC 激励计划,用户自发创作内容（评测/教程）,奖励 MEDX Token（按质量评定）,持续,无限,
